"20.05.2010 15:52:28"
"20.05.2010 16:09:16"
"20.05.2010 16:10:25"
"20.05.2010 16:11:08"
"20.05.2010 16:13:03"
"20.05.2010 16:16:25"
"20.05.2010 16:17:34"
"20.05.2010 16:18:04"
"20.05.2010 16:19:40"
"20.05.2010 16:20:23"
"20.05.2010 16:21:38"
"20.05.2010 16:23:20"
"20.05.2010 18:37:07",AL,nabil,sadfg@ssdf.com,sdfsdfsdf
"21.05.2010 09:07:54",AD,,,d
"21.05.2010 09:25:35",AS,test,test@test.com,dasd
"21.05.2010 09:28:55",AR,csdc,sdcsdc@dsd.com,sdad
"21.05.2010 09:30:55",AD,sdf,sdfds@fsdf.com,sdf
"21.05.2010 09:31:40",AW,fsdfsd,sadsad@sffd.com,dsadads
"21.05.2010 12:05:53",AL,nabil,test@test.de,"test trext"
"21.05.2010 12:18:56",DE,test,h.stiglbauer@hahnair.com,test
"21.05.2010 14:18:44",AR,nasbdilsdfasdf,dsfsdf@sdfg.xcvcxv,"asffasfsdaf

TEST"
"21.05.2010 17:41:09",KY,cv,xdsdf@erserf.com,sdf
"25.05.2010 10:02:31",AD,k,katja@psmw-newmedia.de,"test test"
"25.05.2010 10:03:49",AD,sadsad,sadsad@dfsfsdf.com,sadasd
"27.05.2010 12:41:13",DE,Helmut,h.stiglbauer@hahnair.com,"versuchen wir es mal, bevor es live geht"
"27.05.2010 13:10:23",DE,nabil,sfasdf@asdfsdaf.safdd,"345345345 34543tgfd fdgsdfg453t6fg 345t43ertg43tgf er34 tfw4er3tr3w4tgfw t35e4tgw4et43ewtgfervdbf"
"24.06.2010 15:01:20",DE,h.s.,h.stiglbauer@hahnair.com,test
"28.06.2010 17:51:18",DE,h.s.,h.stiglbauer@hahnair.com,"test wegen Durchnummerierung"
"29.06.2010 14:06:48",DE,hs,h.stiglbauer@hahnair.com,testservertest
"30.06.2010 15:26:43",DE,hs,h.stiglbauer@hahnair.com,testservertest
"01.07.2010 17:49:28",DE,hs,h.stiglbauer@hahnair.com,"erneuter testservertest"
DE,nabil,nabil@psmw-newmedia.de,test
MO,"Ms. katja ratzmann",h.stiglbauer@hahnair.com,"Testservertest über Katjas account"
HK,"Ms. katja ratzmann",h.stiglbauer@hahnair.com,"erneuter Testservertest - 14.7.10"
DZ,sadsad,daniel@psmw-newmedia.de,test
























AL,"Mr. Michael Schwalm",daniel@psmw-newmedia.de,lalala
DZ,,,dfgdfg
DE,nabil,nabil@psmw-newmedia.de,something
